"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2200","Remove product from cart","","Tue Dec 16 02:32:09 UTC 2025","passed","Tue Dec 16 02:32:11 UTC 2025","","","",""
"","1539","Successful logout after login","","Tue Dec 16 02:32:25 UTC 2025","passed","Tue Dec 16 02:32:26 UTC 2025","","","",""
"","1357","Cannot proceed with incomplete information","","Tue Dec 16 02:32:16 UTC 2025","passed","Tue Dec 16 02:32:17 UTC 2025","","","",""
"","908","Successful login with standard user","","Tue Dec 16 02:32:22 UTC 2025","passed","Tue Dec 16 02:32:23 UTC 2025","","","",""
"","881","Failed login with locked out user","","Tue Dec 16 02:32:24 UTC 2025","passed","Tue Dec 16 02:32:25 UTC 2025","","","",""
"","1597","Verify order summary displays correct information","","Tue Dec 16 02:32:17 UTC 2025","passed","Tue Dec 16 02:32:19 UTC 2025","","","",""
"","882","Failed login with invalid credentials","","Tue Dec 16 02:32:23 UTC 2025","passed","Tue Dec 16 02:32:24 UTC 2025","","","",""
"","1649","Return to products from confirmation page","","Tue Dec 16 02:32:20 UTC 2025","passed","Tue Dec 16 02:32:22 UTC 2025","","","",""
"","1191","Cart persists across pages","","Tue Dec 16 02:32:12 UTC 2025","passed","Tue Dec 16 02:32:13 UTC 2025","","","",""
"","1246","Cancel checkout and return to cart","","Tue Dec 16 02:32:19 UTC 2025","passed","Tue Dec 16 02:32:20 UTC 2025","","","",""
"","1077","View cart with added products","","Tue Dec 16 02:32:07 UTC 2025","passed","Tue Dec 16 02:32:09 UTC 2025","","","",""
"","1255","Cannot proceed without required information","","Tue Dec 16 02:32:15 UTC 2025","passed","Tue Dec 16 02:32:16 UTC 2025","","","",""
"","1664","Complete checkout with valid information","","Tue Dec 16 02:32:13 UTC 2025","passed","Tue Dec 16 02:32:15 UTC 2025","","","",""
"","993","Add single product to cart","","Tue Dec 16 02:32:05 UTC 2025","passed","Tue Dec 16 02:32:06 UTC 2025","","","",""
"","1172","Continue shopping from cart","","Tue Dec 16 02:32:11 UTC 2025","passed","Tue Dec 16 02:32:12 UTC 2025","","","",""
"","875","Application accepts valid login","","Tue Dec 16 02:32:27 UTC 2025","passed","Tue Dec 16 02:32:28 UTC 2025","","","",""
"","552","Homepage loads successfully","","Tue Dec 16 02:32:26 UTC 2025","passed","Tue Dec 16 02:32:27 UTC 2025","","","",""
"","1009","Add multiple products to cart","","Tue Dec 16 02:32:06 UTC 2025","passed","Tue Dec 16 02:32:07 UTC 2025","","","",""
"","570","Login form elements are present","","Tue Dec 16 02:32:27 UTC 2025","passed","Tue Dec 16 02:32:27 UTC 2025","","","",""
"","869","Application rejects invalid login","","Tue Dec 16 02:32:28 UTC 2025","passed","Tue Dec 16 02:32:29 UTC 2025","","","",""
